Team,Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Army West Point,Brendon O'Keefe,,G,1,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Army West Point,Joshua Eli,,F,2,0,2.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Army West Point,JT Dougherty,,F,8,1,3.5,0.4,1.0,0.375,0.3,0.6,0.4,0.1,0.4,0.333,0.5,0.3,0.3,1.0,0.4,0.5,0.9,0.1,0.0,0.1,0.0,0.3,1.3
Army West Point,Jackson Mayo,,G,10,0,2.9,0.4,1.5,0.267,0.4,1.5,0.267,0.0,0.0,,0.4,0.0,0.0,,0.3,0.3,0.6,0.2,0.3,0.1,0.0,0.0,1.2
Army West Point,Jaxson Bell,,G,3,0,1.3,0.3,0.7,0.5,0.3,0.3,1.0,0.0,0.3,0.0,0.75,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.0,1.0
Army West Point,Alex Engro,,G,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0
Army West Point,Dylan Murans,,F,3,0,2.3,0.3,1.3,0.25,0.0,0.3,0.0,0.3,1.0,0.333,0.25,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.7
Army West Point,Kendall Hailey,,G,33,0,9.1,0.2,0.9,0.241,0.2,0.5,0.294,0.1,0.4,0.167,0.328,0.1,0.2,0.5,0.3,1.0,1.2,0.7,0.3,0.1,0.6,0.9,0.7
Army West Point,Nnaemeka Ikechi,,F,3,0,2.3,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.0,,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.0,0.7
Army West Point,Dayon Polk,,G,6,0,1.7,0.2,0.3,0.5,0.2,0.3,0.5,0.0,0.0,,0.75,0.0,0.2,0.0,0.0,0.2,0.2,0.3,0.2,0.0,0.0,0.7,0.5
